source,target,relationship
1,2,HAS_FIELD
1,3,HAS_FIELD
1,4,HAS_FIELD
1,5,HAS_FIELD
5,6,DERIVED_FROM
1,7,HAS_FIELD
7,8,DERIVED_FROM
1,9,HAS_FIELD
9,10,DERIVED_FROM
1,11,HAS_FIELD
11,12,DERIVED_FROM
1,13,HAS_FIELD
13,14,DERIVED_FROM
1,15,HAS_FIELD
15,16,DERIVED_FROM
1,17,HAS_FIELD
17,18,DERIVED_FROM
1,19,HAS_FIELD
19,20,DERIVED_FROM
1,21,HAS_FIELD
21,22,DERIVED_FROM
1,23,HAS_FIELD
23,24,DERIVED_FROM
1,25,HAS_FIELD
25,26,DERIVED_FROM
1,27,HAS_FIELD
27,28,DERIVED_FROM
1,29,HAS_FIELD
29,30,DERIVED_FROM
1,31,HAS_FIELD
31,32,DERIVED_FROM
1,33,HAS_FIELD
33,34,DERIVED_FROM
1,35,HAS_FIELD
35,36,DERIVED_FROM
1,37,HAS_FIELD
37,38,DERIVED_FROM
1,39,HAS_FIELD
39,40,DERIVED_FROM
1,41,HAS_FIELD
41,42,DERIVED_FROM
1,43,HAS_FIELD
43,44,DERIVED_FROM
1,45,HAS_FIELD
45,46,DERIVED_FROM
1,47,HAS_FIELD
47,48,DERIVED_FROM
1,49,HAS_FIELD
49,50,DERIVED_FROM
1,51,HAS_FIELD
51,38,DERIVED_FROM
1,52,HAS_FIELD
52,53,DERIVED_FROM
1,54,HAS_FIELD
54,55,DERIVED_FROM
1,56,HAS_FIELD
56,57,DERIVED_FROM
1,58,HAS_FIELD
58,59,DERIVED_FROM
1,60,HAS_FIELD
60,61,DERIVED_FROM
1,62,HAS_FIELD
62,63,DERIVED_FROM
1,64,HAS_FIELD
1,65,HAS_FIELD
1,66,HAS_FIELD
1,67,HAS_FIELD
1,68,HAS_FIELD
1,69,HAS_FIELD
1,70,HAS_FIELD
1,71,HAS_FIELD
1,72,HAS_FIELD
1,73,HAS_FIELD
1,74,HAS_FIELD
1,75,HAS_FIELD
1,76,HAS_FIELD
1,77,HAS_FIELD
1,78,HAS_FIELD
1,79,HAS_FIELD
1,80,HAS_FIELD
1,81,HAS_FIELD
1,82,HAS_FIELD
1,83,HAS_FIELD
1,84,HAS_FIELD
1,85,HAS_FIELD
85,86,DERIVED_FROM
1,87,HAS_FIELD
1,88,HAS_FIELD
88,89,DERIVED_FROM
1,90,HAS_FIELD
90,91,DERIVED_FROM
1,92,HAS_FIELD
92,93,DERIVED_FROM
1,94,HAS_FIELD
1,95,HAS_FIELD
95,96,DERIVED_FROM
1,97,HAS_FIELD
97,98,DERIVED_FROM
1,99,HAS_FIELD
99,100,DERIVED_FROM
1,101,HAS_FIELD
1,102,HAS_FIELD
1,103,HAS_FIELD
103,104,DERIVED_FROM
1,105,HAS_FIELD
1,106,HAS_FIELD
1,107,HAS_FIELD
1,108,HAS_FIELD
1,109,HAS_FIELD
1,110,HAS_FIELD
110,93,DERIVED_FROM
1,111,HAS_FIELD
1,112,HAS_FIELD
1,113,HAS_FIELD
1,114,HAS_FIELD
1,115,HAS_FIELD
1,116,HAS_FIELD
1,117,HAS_FIELD
1,118,HAS_FIELD
1,119,HAS_FIELD
1,120,HAS_FIELD
1,121,HAS_FIELD
1,122,HAS_FIELD
1,123,HAS_FIELD
1,124,HAS_FIELD
1,125,HAS_FIELD
1,126,HAS_FIELD
1,127,HAS_FIELD
1,128,HAS_FIELD
1,129,HAS_FIELD
1,130,HAS_FIELD
1,131,HAS_FIELD
1,132,HAS_FIELD
1,133,HAS_FIELD
1,134,HAS_FIELD
1,135,HAS_FIELD
1,136,HAS_FIELD
1,137,HAS_FIELD
1,138,HAS_FIELD
1,139,HAS_FIELD
1,140,HAS_FIELD
1,141,HAS_FIELD
1,142,HAS_FIELD
1,143,HAS_FIELD
1,144,HAS_FIELD
1,145,HAS_FIELD
1,146,HAS_FIELD
1,147,HAS_FIELD
1,148,HAS_FIELD
1,149,HAS_FIELD
1,150,HAS_FIELD
1,151,HAS_FIELD
1,152,HAS_FIELD
1,153,HAS_FIELD
1,154,HAS_FIELD
1,155,HAS_FIELD
1,156,HAS_FIELD
1,157,HAS_FIELD
1,158,HAS_FIELD
1,159,HAS_FIELD
1,160,HAS_FIELD
1,161,HAS_FIELD
1,162,HAS_FIELD
1,163,HAS_FIELD
1,164,HAS_FIELD
1,165,HAS_FIELD
1,166,HAS_FIELD
1,167,HAS_FIELD
1,168,HAS_FIELD
1,169,HAS_FIELD
1,170,HAS_FIELD
1,171,HAS_FIELD
1,172,HAS_FIELD
1,173,HAS_FIELD
1,174,HAS_FIELD
1,175,HAS_FIELD
1,176,HAS_FIELD
1,177,HAS_FIELD
1,178,HAS_FIELD
1,179,HAS_FIELD
1,180,HAS_FIELD
1,181,HAS_FIELD
1,182,HAS_FIELD
1,183,HAS_FIELD
1,184,HAS_FIELD
1,185,HAS_FIELD
1,186,HAS_FIELD
1,187,HAS_FIELD
1,188,HAS_FIELD
1,189,HAS_FIELD
1,190,HAS_FIELD
